id,result,golddiffat15,xpdiffat15,csdiffat15,killsdiffat15,assistsdiffat15,golddiffat10,xpdiffat10,csdiffat10,killsdiffat10,assistsdiffat10,WR,KD,GPR,GSPD,EGR,MLR,FB%,FT%,F3T%,HLD%,DRG%,BN%,LNE%,JNG%,OPP_WR,OPP_KD,OPP_GPR,OPP_GSPD,OPP_EGR,OPP_MLR,OPP_FB%,OPP_FT%,OPP_F3T%,OPP_HLD%,OPP_DRG%,OPP_BN%,OPP_LNE%,OPP_JNG%
10,1,5018.0,4255.0,86.0,5.0,9.0,1793.0,2365.0,65.0,1.0,0.0,1.0,2.13,2.42,12.6,77.2,22.8,100,100,100,58,70,89,50.4,53.3,0.0,0.29,-1.75,-12.1,23.1,-23.1,0,0,33,50,27,0,49.2,43.7
22,0,573.0,-1879.0,-49.0,1.0,4.0,759.0,171.0,-8.0,1.0,3.0,0.0,0.29,-1.75,-12.1,23.1,-23.1,0,0,33,50,27,0,49.2,43.7,1.0,2.13,2.42,12.6,77.2,22.8,100,100,100,58,70,89,50.4,53.3
34,0,-579.0,-1643.0,-40.0,-1.0,-5.0,73.0,-1.0,-24.0,1.0,-1.0,0.0,0.29,-1.75,-12.1,23.1,-23.1,0,0,33,50,27,0,49.2,43.7,1.0,2.13,2.42,12.6,77.2,22.8,100,100,100,58,70,89,50.4,53.3
106,1,3739.0,1118.0,53.0,1.0,0.0,1746.0,824.0,21.0,2.0,2.0,1.0,3.26,5.8,30.4,98.1,1.9,75,100,100,86,77,100,55.3,64.8,0.6,1.18,0.95,3.4,63.9,-3.9,67,67,67,48,60,48,51.6,50.3
118,0,-6390.0,-4569.0,-47.0,-10.0,-17.0,-3500.0,-1882.0,-18.0,-7.0,-11.0,0.6363636363636364,0.92,-0.19,-3.6,42.2,21.4,45,55,55,57,44,43,49.2,54.2,0.25,0.62,-2.33,-14.6,25.8,-0.8,13,25,25,19,20,20,49.7,42.2
130,0,-419.0,-1835.0,10.0,-3.0,-6.0,576.0,581.0,30.0,0.0,1.0,0.2857142857142857,0.69,-0.76,-9.6,48.9,-20.3,43,57,43,71,43,17,47.6,46.8,0.2,0.5,-1.51,-13.5,31.6,-11.6,60,60,60,50,19,0,49.4,40.1
142,1,6004.0,4347.0,96.0,4.0,7.0,3360.0,2635.0,76.0,3.0,6.0,0.3333333333333333,0.72,-3.2,-10.4,10.0,23.4,0,0,0,20,50,33,49.8,43.4,0.0,0.34,-3.42,-22.7,15.0,-15.0,0,0,0,0,60,0,48.9,41.6
154,0,180.0,403.0,9.0,1.0,-1.0,402.0,1150.0,5.0,2.0,5.0,0.2,0.5,-1.51,-13.5,31.6,-11.6,60,60,60,50,19,0,49.4,40.1,0.2857142857142857,0.69,-0.76,-9.6,48.9,-20.3,43,57,43,71,43,17,47.6,46.8
166,1,1006.0,295.0,13.0,2.0,4.0,1366.0,80.0,-10.0,3.0,4.0,0.6,1.18,0.95,3.4,63.9,-3.9,67,67,67,48,60,48,51.6,50.3,1.0,3.26,5.8,30.4,98.1,1.9,75,100,100,86,77,100,55.3,64.8
178,0,-4266.0,-1049.0,-6.0,-4.0,-4.0,-1635.0,-1297.0,-27.0,-1.0,-4.0,0.25,0.62,-2.33,-14.6,25.8,-0.8,13,25,25,19,20,20,49.7,42.2,0.6363636363636364,0.92,-0.19,-3.6,42.2,21.4,45,55,55,57,44,43,49.2,54.2
